ix_id,ixlan_id,proto,prefix
322,322,IPv4,206.126.114.0/24
322,322,IPv6,2001:504:17:114::/64
325,325,IPv4,206.126.115.0/24
325,325,IPv6,2001:504:17:115::/64
326,326,IPv4,185.1.30.0/24
326,326,IPv4,217.174.157.0/24
326,326,IPv6,2001:7f8:8e::/48
327,327,IPv4,193.25.180.0/23
327,327,IPv6,2001:7f8:63::/64
328,328,IPv4,195.140.192.0/24
328,328,IPv6,2001:7f8:1d:4::/64
331,331,IPv4,193.169.198.0/23
331,331,IPv6,2001:7f8:58::/64
334,334,IPv4,195.2.230.0/24
336,336,IPv4,91.213.236.0/24
336,336,IPv6,2001:7f8:68::/48
340,340,IPv4,185.1.19.0/24
340,340,IPv6,2001:7f8:7d::/64
344,344,IPv4,196.223.22.0/24
344,344,IPv6,2001:43f8:1f1::/64
347,347,IPv4,176.126.38.0/25
347,347,IPv6,2001:7f8:6e::/64
348,348,IPv4,202.7.0.0/23
348,348,IPv6,2001:7fa:3:ca07::/64
349,349,IPv4,218.100.24.0/24
349,349,IPv6,2001:7fa:3:5f44::/64
350,350,IPv4,194.85.107.0/24
350,350,IPv6,2001:7f8:20:301::/64
355,355,IPv4,198.179.18.0/24
355,355,IPv6,2001:504:2d::18:0/111
358,358,IPv4,178.18.224.0/22
358,358,IPv4,178.18.226.0/23
358,358,IPv4,178.18.228.0/23
358,358,IPv4,178.18.230.0/24
358,358,IPv4,178.18.231.0/24
358,358,IPv4,178.18.232.0/24
358,358,IPv4,178.18.233.0/24
358,358,IPv4,178.18.235.0/24
358,358,IPv6,2a03:5f80:4:1::/64
358,358,IPv6,2a03:5f80:4:2::/64
358,358,IPv6,2a03:5f80:4::/64
358,358,IPv6,2a03:5f80:7::/64
359,359,IPv4,37.49.236.0/22
359,359,IPv6,2001:7f8:54::/64
361,361,IPv4,196.223.5.0/24
361,361,IPv6,2001:43f8::/64
363,363,IPv4,206.53.201.0/24
363,363,IPv6,2001:504:60::/64
364,364,IPv4,195.246.227.0/24
364,364,IPv6,2001:7f8:16::/64
366,366,IPv4,200.0.20.0/24
366,366,IPv6,2001:13c7:6004::/64
368,368,IPv4,193.136.251.96/27
368,368,IPv6,2001:7f8:a:11::/64
372,372,IPv4,80.97.248.0/23
372,372,IPv6,2a02:d10:80::/64
373,373,IPv4,198.32.181.0/24
373,373,IPv6,2001:504:d:80::/64
375,375,IPv4,218.100.27.0/24
375,375,IPv4,218.100.36.0/24
375,375,IPv4,43.252.146.0/23
375,375,IPv6,2001:7fa:f::/48
377,377,IPv4,193.37.144.0/24
377,377,IPv6,2001:7f8:4a::/48
378,378,IPv4,193.232.136.0/25
378,378,IPv6,2001:7f8:20:701::/64
379,379,IPv4,193.232.135.0/24
379,379,IPv6,2001:7f8:20:601::/64
380,380,IPv4,193.232.140.0/24
380,380,IPv6,2001:7f8:20:501::/64
381,381,IPv4,194.57.253.128/27
383,383,IPv4,62.63.142.0/24
387,387,IPv4,194.88.240.0/25
387,387,IPv6,2001:7f8:18:12::/64
392,392,IPv4,193.17.78.0/24
392,392,IPv6,2001:7f8:6a::/64
393,393,IPv4,192.114.62.0/23
393,393,IPv6,2001:7f8:3b::/48
398,398,IPv4,194.190.119.0/24
398,398,IPv6,2001:7f8:20:801::/64
400,400,IPv4,193.219.13.64/26
400,400,IPv6,2001:778:0:1001::/64
410,410,IPv4,91.216.67.0/24
410,410,IPv6,2001:7f8:59:0:75::/96
415,415,IPv4,200.192.108.0/24
415,415,IPv6,2001:12f8:0:11::/64
421,421,IPv4,196.223.1.0/24
421,421,IPv4,196.49.6.0/24
421,421,IPv6,2001:43f8:390::/64
421,421,IPv6,2001:43f8:391::/64
422,422,IPv4,196.223.25.0/24
422,422,IPv6,2001:43f8:130::/64
424,424,IPv4,185.1.27.0/24
424,424,IPv6,2001:7f8:1e::/64
428,428,IPv4,198.32.136.0/24
428,428,IPv4,198.32.153.0/24
428,428,IPv4,198.9.201.0/24
428,428,IPv4,198.9.202.0/24
428,428,IPv6,2001:478:6663:100::/64
428,428,IPv6,2001:478:6663:200::/64
429,429,IPv4,103.16.102.0/23
429,429,IPv6,2001:de8:12:100::/64
430,430,IPv4,193.105.214.0/24
435,435,IPv4,91.217.231.0/24
435,435,IPv6,2001:7f8:67::/64
446,446,IPv4,206.108.255.0/24
446,446,IPv6,2001:504:27::/64
452,452,IPv4,218.100.41.0/24
452,452,IPv6,2001:de8:11:3::/64
453,453,IPv4,91.198.176.0/24
453,453,IPv6,2001:7f8:41::/48
463,463,IPv4,202.128.12.0/26
469,469,IPv4,119.110.115.0/24
469,469,IPv4,119.110.116.0/23
469,469,IPv4,119.110.118.0/24
469,469,IPv6,2404:c000:4004::/64
474,474,IPv4,89.46.144.0/21
474,474,IPv6,2001:678:3ac::/48
476,476,IPv4,206.223.120.0/24
476,476,IPv6,2001:504:18::/48
477,477,IPv4,195.60.89.0/24
477,477,IPv6,2001:7f8:5e::/64
481,481,IPv4,212.91.0.0/22
481,481,IPv6,2001:7f8:60::/48
482,482,IPv4,195.149.232.0/23
482,482,IPv6,2001:7f8:27::/48
487,487,IPv4,193.22.30.0/24
488,488,IPv4,196.216.148.0/24
488,488,IPv6,2001:43f8:bb1::/64
491,491,IPv4,178.216.40.0/21
491,491,IPv6,2001:7f8:5b::/64
492,492,IPv4,193.110.225.0/24
492,492,IPv6,2001:7f8:7:c::/64
496,496,IPv4,206.130.61.0/24
496,496,IPv6,2001:504:20:81::/64
499,499,IPv4,204.107.122.0/25
499,499,IPv6,2001:19e0:ffff::/64
506,506,IPv4,206.123.0.0/24
506,506,IPv6,2001:504:21::/64
512,512,IPv4,193.28.6.0/24
512,512,IPv6,2001:7f8:82::/64
513,513,IPv4,218.100.78.0/24
513,513,IPv6,2001:7fa:11:1::/64
514,514,IPv4,149.112.8.0/24
514,514,IPv6,2001:504:101::/64
524,524,IPv4,193.8.61.192/26
526,526,IPv4,185.1.92.0/24
526,526,IPv6,2001:7f8:b4::/48
528,528,IPv4,196.223.33.0/24
528,528,IPv6,2001:43f8:930:cafe::/64
529,529,IPv4,217.117.187.0/24
538,538,IPv4,213.184.52.0/24
538,538,IPv6,2001:7f8:50:1::/64
542,542,IPv4,185.1.113.0/24
542,542,IPv6,2001:7f8:c4::/64
543,543,IPv4,91.232.229.0/24
543,543,IPv6,2001:7f8:66::/64
556,556,IPv4,200.219.145.0/24
556,556,IPv6,2001:12f8:0:8::/64
558,558,IPv4,187.16.197.0/24
558,558,IPv6,2001:12f8:0:20::/64
559,559,IPv4,192.108.145.0/24
563,563,IPv4,206.123.7.0/24
563,563,IPv6,2001:504:95::/64
564,564,IPv4,103.246.232.0/24
564,564,IPv6,2001:de8:8:6::/64
565,565,IPv4,206.108.236.0/24
565,565,IPv6,2001:504:24:1::/64
566,566,IPv4,218.100.21.0/24
573,573,IPv4,200.0.18.0/24
575,575,IPv4,200.192.111.0/24
575,575,IPv6,2001:12f8:0:14::/64
576,576,IPv4,218.100.76.0/24
576,576,IPv6,2001:7fa:11:2::/64
577,577,IPv4,103.247.139.0/25
577,577,IPv6,2001:df0:296::/64
580,580,IPv4,194.85.177.0/25
580,580,IPv6,2001:7f8:20:901::/64
582,582,IPv4,185.1.65.128/27
582,582,IPv6,2001:7f8:12:4::/64
583,583,IPv4,195.66.244.0/24
583,583,IPv6,2001:7f8:4:2::/64
587,587,IPv4,185.1.8.0/24
587,587,IPv6,2001:7f8:73::/64
592,592,IPv4,196.60.8.0/22
592,592,IPv6,2001:43f8:6d0::/64
597,597,IPv4,196.60.70.0/23
597,597,IPv6,2001:43f8:6d1::/64
598,598,IPv4,218.100.49.64/26
602,602,IPv4,58.84.254.0/23
602,602,IPv6,2402:a800:fff0::/64
603,603,IPv4,200.192.109.0/24
603,603,IPv6,2001:12f8:0:12::/64
